intron	logef	Ficedula_albicollis	Ficedula_hypoleuca	deltapsi
chrN00001:2839115:2839352:clu_10_+	-0.453696920187253	0.02686987621177	0.00715548414259685	-0.0197143920691732
chrN00001:2839115:2840947:clu_10_+	0.907597021047259	0.949646034592761	0.986591941878282	0.0369459072855212
chrN00001:2839510:2840947:clu_10_+	-0.453900100860005	0.0234840891954689	0.00625257397912092	-0.017231515216348
chrN00001:12468540:12469748:clu_100_+	0.0220778314458979	0.997993225921161	0.998079742060822	8.65161396603753e-05
chrN00001:12468540:12469809:clu_100_+	-0.0220778314458979	0.00200677407883854	0.00192025793917822	-8.65161396603224e-05
chrN00001:2844792:2845842:clu_11_+	0.369042013950755	0.00775905622861616	0.0160949913368341	0.00833593510821796
chrN00001:2844792:2914978:clu_11_+	-0.369042013950755	0.992240943771384	0.983905008663166	-0.00833593510821784
chrN00001:14420514:14424099:clu_112_+	-0.0375632630480576	0.441638655966354	0.42320241267114	-0.0184362432952137
chrN00001:14420514:14424102:clu_112_+	0.0375632630480576	0.558361344033646	0.57679758732886	0.0184362432952137
chrN00001:14428211:14428683:clu_113_+	-0.431936621689274	0.0340456260496745	0.0146394413217896	-0.0194061847278849
chrN00001:14428211:14428692:clu_113_+	0.431936621689274	0.965954373950325	0.98536055867821	0.0194061847278849
chrN00001:2942814:2949480:clu_12_+	-0.302348506354407	0.990117378303727	0.982055226745829	-0.0080621515578978
chrN00001:2942814:2949484:clu_12_+	0.302348506354407	0.00988262169627339	0.0179447732541711	0.00806215155789775
chrN00001:15394444:15478601:clu_120_+	0.0605694662527907	0.215339237189957	0.20098316499498	-0.0143560721949763
chrN00001:15394444:15526015:clu_120_+	0.225850109747954	0.637501460936436	0.70193705058104	0.0644355896446037
chrN00001:15478642:15526015:clu_120_+	-0.286419576000745	0.147159301873608	0.0970797844239803	-0.0500795174496272
chrN00001:15584447:15592543:clu_121_+	0.00869251149967696	0.128593802407396	0.130554534393112	0.001960731985716
chrN00001:15584453:15592543:clu_121_+	-0.00869251149967696	0.871406197592604	0.869445465606888	-0.001960731985716
chrN00001:15592652:15593410:clu_122_+	0.191341411914391	0.341316457909568	0.347304030947858	0.00598757303829028
chrN00001:15592652:15600955:clu_122_+	-0.371522192059878	0.0236801459195487	0.013724243375216	-0.00995590254433278
chrN00001:15593568:15600955:clu_122_+	0.180180780145488	0.635003396170883	0.638971725676926	0.00396832950604264
chrN00001:15787930:15797333:clu_123_+	0.43410518659991	0.822955838522509	0.917186042092235	0.0942302035697262
chrN00001:15787942:15797333:clu_123_+	-0.43410518659991	0.177044161477491	0.0828139579077646	-0.0942302035697263
chrN00001:15797491:15808823:clu_124_+	0.288571353817921	0.307845057039442	0.35702807555664	0.0491830185171981
chrN00001:15808848:15812631:clu_124_+	-0.486760730578599	0.0541054927476462	0.0288994178900097	-0.0252060748576365
chrN00001:15808960:15812631:clu_124_+	0.238921383789977	0.303489391079718	0.334927640997585	0.0314382499178662
chrN00001:15816458:15818266:clu_124_+	-0.040732007029299	0.334560059133194	0.279144865555766	-0.0554151935774278
chrN00001:15909926:15910812:clu_126_+	0.0757245831255274	0.692926114338908	0.72417853245962	0.0312524181207118
chrN00001:15909926:15910815:clu_126_+	-0.0757245831255274	0.307073885661092	0.27582146754038	-0.0312524181207118
chrN00001:15921358:15921908:clu_127_+	0.0512445907535075	0.0135815084999328	0.018390590713571	0.00480908221363825
chrN00001:15921358:15924026:clu_127_+	-0.267510311776585	0.969303160832971	0.954275564134265	-0.0150275966987059
chrN00001:15922028:15924026:clu_127_+	0.216265721023078	0.0171153306670966	0.0273338451521643	0.0102185144850677
chrN00001:15934479:15935789:clu_128_+	-0.201135400706753	0.990609386223288	0.986023996082503	-0.00458539014078474
chrN00001:15936593:15938063:clu_128_+	0.201135400706753	0.00939061377671195	0.0139760039174968	0.00458539014078485
chrN00001:15964359:15974443:clu_129_+	-0.15273375452397	0.959722892989496	0.946108976597692	-0.013613916391804
chrN00001:15964359:15974553:clu_129_+	0.15273375452397	0.0402771070105044	0.0538910234023084	0.013613916391804
chrN00001:15993514:15993936:clu_132_+	-0.111821948716551	0.0724118760858886	0.0587531104294539	-0.0136587656564347
chrN00001:15993525:15993936:clu_132_+	0.111821948716551	0.927588123914111	0.941246889570546	0.0136587656564345
chrN00001:15994017:15994249:clu_133_+	-0.233322994336042	0.987359074089455	0.979992704587732	-0.00736636950172254
chrN00001:15994017:15994268:clu_133_+	0.233322994336042	0.0126409259105451	0.0200072954122677	0.00736636950172259
chrN00001:16052017:16052137:clu_134_+	-0.640893951686459	0.148178181829423	0.0460558738330837	-0.102122307996339
chrN00001:16052017:16052164:clu_134_+	0.640893951686459	0.851821818170577	0.953944126166916	0.102122307996339
chrN00001:16681768:16684081:clu_138_+	-0.906309562050637	0.975244843272937	0.86541761195163	-0.109827231321307
chrN00001:16682970:16684081:clu_138_+	0.906309562050637	0.0247551567270628	0.13458238804837	0.109827231321307
chrN00001:16259734:16260892:clu_141_+	-0.0603002439675936	0.0241930949689859	0.0215035746195004	-0.00268952034948558
chrN00001:16259734:16261676:clu_141_+	0.0603002439675935	0.975806905031014	0.9784964253805	0.00268952034948555
